location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,ew,6,1973-10-31,0.0158006118083303
usa,accruals,monthly,ew,6,1973-11-30,0.0327319650711023
usa,accruals,monthly,ew,6,1973-12-31,0.00201380638253044
usa,accruals,monthly,ew,6,1974-01-31,0.0418301717120458
usa,accruals,monthly,ew,6,1974-02-28,0.0125106362260041
usa,accruals,monthly,ew,6,1974-03-31,-0.00108935639237506
usa,accruals,monthly,ew,6,1974-04-30,0.0086051071319391
usa,accruals,monthly,ew,6,1974-05-31,0.00226474286836612
usa,accruals,monthly,ew,6,1974-06-30,0.00834819178656575
usa,accruals,monthly,ew,6,1974-07-31,0.0226986619658057
usa,accruals,monthly,ew,6,1974-08-31,0.0221470897345071
usa,accruals,monthly,ew,6,1974-09-30,0.0239233679827675
usa,accruals,monthly,ew,6,1974-10-31,-0.00559380913432892
usa,accruals,monthly,ew,6,1974-11-30,0.00975035606190046
usa,accruals,monthly,ew,6,1974-12-31,0.00605550984744005
usa,accruals,monthly,ew,6,1975-01-31,0.00294308183500845
usa,accruals,monthly,ew,6,1975-02-28,-0.000858488668671711
usa,accruals,monthly,ew,6,1975-03-31,-0.0129399904906481
usa,accruals,monthly,ew,6,1975-04-30,-0.00287212844909544
usa,accruals,monthly,ew,6,1975-05-31,-0.00810560038508411
usa,accruals,monthly,ew,6,1975-06-30,0.000836640187155479
usa,accruals,monthly,ew,6,1975-07-31,0.0088357537000705
usa,accruals,monthly,ew,6,1975-08-31,-0.00214025170070911
usa,accruals,monthly,ew,6,1975-09-30,0.00188593519304932
usa,accruals,monthly,ew,6,1975-10-31,-0.00718306237338345
usa,accruals,monthly,ew,6,1975-11-30,0.00637241280398035
usa,accruals,monthly,ew,6,1975-12-31,0.00550902235825922
usa,accruals,monthly,ew,6,1976-01-31,0.0286594239839256
usa,accruals,monthly,ew,6,1976-02-29,0.0409901124164318
usa,accruals,monthly,ew,6,1976-03-31,0.00036002096466814
usa,accruals,monthly,ew,6,1976-04-30,0.00641131590318337
usa,accruals,monthly,ew,6,1976-05-31,-0.00551479428107815
